hippo_id,smiles,inchikey,required_amount_mg,num_poses,poses,tags,num_routes,num_reaction_steps,reaction_dependencies,reactant_dependencies,route_ids,chemistry_types,is_scaffold,scaffold_series,inspirations
146373,NC(=O)C1(F)CCCN(C(=O)C2CCOc3ccccc32)C1,QQWNPAGVBNUACP-UHFFFAOYSA-N,1,4,"{258619, 258620, 258621, 258622}",['iter2'],1,{1},[145581],"{62363, 146197}",[25229],Amidation,False,[124231],A4260a
156247,NC(=O)C1(O)CCN(C(=O)Cc2cccc(I)c2)C1,FORKWSNSRYZBNA-UHFFFAOYSA-N,1,2,"{300952, 300953}",['iter2'],1,{1},[155094],"{124371, 155358}",[34738],Amidation,False,[124237],A4317a
152357,Cc1ccc2c(c1)C(C(=O)N1CCCC(C(N)=O)C1)CC2,OBZQBBUIABFUPJ-UHFFFAOYSA-N,1,3,"{281027, 281028, 281029}",['iter2'],1,{1},[151309],"{139989, 62341}",[30955],Amidation,False,[124236],"A3665a, A4386a, A4202a"
124777,NC(=O)C1(NC(=O)Cc2cccc(I)c2)CCCNC1,JSWSJWVPDRQEDN-UHFFFAOYSA-N,1,4,"{220195, 220194, 214923, 214924}",['iter2'],1,{1},[122522],"{62347, 124371}",[2187],Amidation,False,[124229],"A3665a, A4386a, A4202a"
151361,CC1CCC(C(N)=O)CN1C(=O)Cc1ccc(Br)cn1,UJGAZPBFMRPQBJ-UHFFFAOYSA-N,1,4,"{277817, 277818, 277819, 277820}",['iter2'],1,{1},[150339],"{150562, 62373}",[29985],Amidation,False,[124230],A4283a
125890,NC(=O)C1(N)CCCN(C(=O)Cc2ccccc2F)C1,KXJIACVKFARAIS-UHFFFAOYSA-N,1,3,"{223575, 223574, 218327}",['iter2'],1,{1},[123613],"{62347, 124431}",[3276],Amidation,False,[124229],"A3665a, A4386a, A4202a"
156939,NC(=O)C1(O)CCN(C(=O)C(O)c2cccc(N)c2)C1,USLHQSMLDWNCKZ-UHFFFAOYSA-N,1,4,"{303472, 303473, 303470, 303471}",['iter2'],1,{1},[155780],"{124445, 155358}",[35424],Amidation,False,[124237],A4317a
124429,CC(C(=O)N1CC2CC(C1)C(=O)N2)c1ccccc1,TVTRPUBVVMNWRE-UHFFFAOYSA-N,1,6,"{219044, 219045, 219046, 219047, 213777, 213778}",['iter2'],1,{1},[122195],"{62378, 124426}",[1860],Amidation,False,[124229],"A3665a, A4386a, A4202a"
124362,NC(=O)C1CCCN(C(=O)Cc2ccccc2N)C1,XGXDWINLUYAYAK-UHFFFAOYSA-N,1,4,"{218880, 213603, 213604, 218879}",['iter2'],1,{1},[122138],"{124252, 62341}",[1803],Amidation,False,[124229],"A3665a, A4386a, A4202a"
140165,Cc1ocnc1CCNC(=O)C1CCc2cccc(Br)c21,KCPJXAYBWBEQMO-UHFFFAOYSA-N,1,2,"{246390, 246391}",['iter2'],1,{1},[138477],"{122577, 135318}",[18137],Amidation,False,[124220],A3392a
123060,NC(=O)C1(N)CCCN(C(=O)C2CCSc3ccccc32)C1,FMDNAOXFOKFOHX-UHFFFAOYSA-N,1,4,"{208912, 208909, 208910, 208911}",[],1,{1},[120891],"{122656, 62347}",[534],Amidation,False,[122496],A4386a
124555,CC1CC(C(N)=O)CN(C(=O)Cc2ccccc2O)C1,VWKHIOIHEXJYJI-UHFFFAOYSA-N,1,7,"{214208, 219491, 219492, 219493, 219494, 214206, 214207}",['iter2'],1,{1},[122315],"{62371, 124380}",[1980],Amidation,False,[124229],"A3665a, A4386a, A4202a"
124289,NC(=O)C1CCCN(C(=O)C(Cl)c2ccccc2)C1,BKBSTELGUKHTIQ-UHFFFAOYSA-N,1,6,"{218720, 218721, 218722, 213445, 213446, 213447}",['iter2'],1,{1},[122080],"{12491, 62341}",[1745],Amidation,False,[124229],"A3665a, A4386a, A4202a"
155604,NC(=O)C1(F)CCN(C(=O)C(Br)c2ccccc2)C1,FVIFTKDULSSOTC-UHFFFAOYSA-N,1,3,"{298771, 298772, 298773}",['iter2'],1,{1},[154484],"{155369, 124242}",[34128],Amidation,False,[124237],A4317a
124778,NC(=O)C1(N)CCCN(C(=O)Cc2cccc(I)c2)C1,XMQMGVHDGQIYRK-UHFFFAOYSA-N,1,3,"{220197, 220196, 214925}",['iter2'],1,{1},[122523],"{62347, 124371}",[2188],Amidation,False,[124229],"A3665a, A4386a, A4202a"
124888,CNC(=O)C1CCCN(C(=O)Cc2cccc(O)c2)C1,DIBRTPMRKXRJOY-UHFFFAOYSA-N,1,4,"{220488, 215220, 215221, 220487}",['iter2'],1,{1},[122633],"{124345, 62365}",[2297],Amidation,False,[124229],"A3665a, A4386a, A4202a"
158826,CC(C(=O)N1CCC2C(C1)C2C(N)=O)c1ccccc1,NFWUTKVEJFQBIW-UHFFFAOYSA-N,1,12,"{312203, 312204, 312205, 312206, 312207, 312208, 312209, 312210, 312211, 312212, 312213, 312214}",['iter2'],1,{1},[157624],"{124426, 158701}",[37266],Amidation,False,[124235],A4018a
153149,O=C1NCC2CCN(C(=O)C3CCc4cccc(Br)c43)CC12,MPLNUJSEMZGICN-UHFFFAOYSA-N,1,4,"{285264, 285265, 285266, 285267}",['iter2'],1,{1},[152101],"{122577, 62359}",[31747],Amidation,False,[124236],"A3665a, A4386a, A4202a"
150460,NC(=O)C1CCCN(C(=O)Cc2ccc(O)cn2)C1,ACQOZFQIMPSPHT-UHFFFAOYSA-N,1,1,{274869},['iter2'],1,{1},[149471],"{150459, 62341}",[29117],Amidation,False,[124230],A4283a
152664,Cc1ccc2c(c1)C(C(=O)N1CC(C)CC(C(N)=O)C1)CC2,IRJSLYKOVSSEIW-UHFFFAOYSA-N,1,8,"{282516, 282517, 282518, 282519, 282520, 282521, 282522, 282523}",['iter2'],1,{1},[151616],"{62371, 139989}",[31262],Amidation,False,[124236],"A3665a, A4386a, A4202a"
158784,NC(=O)C1C2CCN(C(=O)C(Br)c3ccccc3)CC21,AOHDDDLCWHLQMR-UHFFFAOYSA-N,1,12,"{311904, 311905, 311894, 311895, 311896, 311897, 311898, 311899, 311900, 311901, 311902, 311903}",['iter2'],1,{1},[157582],"{124242, 158701}",[37224],Amidation,False,[124235],A4018a
