target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C125022,1,,,,O=C1NC2CNCC1C2,O=C(O)Cc1ccc(Br)cc1Br,O=C1NC2CC1CN(C(=O)Cc1ccc(Br)cc1Br)C2,Amidation,,
C158805,1,,,,Nc1ccccc1CC(=O)O,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccccc3N)CC21,Amidation,,
C125026,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)Cc1cccc(Cl)c1,NC(=O)C1(F)CCCN(C(=O)Cc2cccc(Cl)c2)C1,Amidation,,
C125030,1,,,,O=C1NCC2CCNCC12,O=C(O)Cc1cccc(Cl)c1,O=C1NCC2CCN(C(=O)Cc3cccc(Cl)c3)CC12,Amidation,,
C125031,1,,,,CC1CCC(C(N)=O)CN1,O=C(O)Cc1cccc(Cl)c1,CC1CCC(C(N)=O)CN1C(=O)Cc1cccc(Cl)c1,Amidation,,
C122911,1,,,,O=C1NCC2CCNCC12,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCC2CNC(=O)C2C1,Amidation,,
C122913,1,,,,CC1CCC(C(N)=O)CN1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CC(C(N)=O)CCC1C,Amidation,,
C122914,1,,,,NC(=O)C1(F)CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(F)(C(N)=O)C1,Amidation,,
C158821,1,,,,O=C(O)Cc1cccc(I)c1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3cccc(I)c3)CC21,Amidation,,
C125041,1,,,,CC1CNCC(C(N)=O)C1,O=C(O)Cc1cccc(Cl)c1,CC1CC(C(N)=O)CN(C(=O)Cc2cccc(Cl)c2)C1,Amidation,,
C158826,1,,,,CC(C(=O)O)c1ccccc1,NC(=O)C1C2CCNCC21,CC(C(=O)N1CCC2C(C1)C2C(N)=O)c1ccccc1,Amidation,,
C150410,1,,,,O=C1NC2CNCC1C2,O=C(O)Cc1cccc(Cl)n1,O=C1NC2CC1CN(C(=O)Cc1cccc(Cl)n1)C2,Amidation,,
C122922,1,,,,NC(=O)C1(O)CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CCCC(O)(C(N)=O)C1,Amidation,,
C122925,1,,,,CC1CNCC(C(N)=O)C1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)N1CC(C)CC(C(N)=O)C1,Amidation,,
C125051,1,,,,CNC(=O)C1CCCNC1,O=C(O)Cc1cccc(Cl)c1,CNC(=O)C1CCCN(C(=O)Cc2cccc(Cl)c2)C1,Amidation,,
C150414,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1cccc(Cl)n1,NC(=O)C1CCCN(C(=O)Cc2cccc(Cl)n2)C1,Amidation,,
C150420,1,,,,NC(=O)C1CCCNC1,O=C(O)Cc1ncccc1F,NC(=O)C1CCCN(C(=O)Cc2ncccc2F)C1,Amidation,,
C125056,1,,,,NC(C(=O)O)c1ccccc1Cl,NC(=O)C1CCCNC1,NC(=O)C1CCCN(C(=O)C(N)c2ccccc2Cl)C1,Amidation,,
C150422,1,,,,O=C1NC2CNCC1C2,O=C(O)Cc1ncccc1F,O=C1NC2CC1CN(C(=O)Cc1ncccc1F)C2,Amidation,,
C158837,1,,,,O=C(O)C(Cl)c1ccccc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)C(Cl)c3ccccc3)CC21,Amidation,,
C125060,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)Cc1cccc(Cl)c1,NC(=O)C1(O)CCCN(C(=O)Cc2cccc(Cl)c2)C1,Amidation,,
C156754,1,,,,O=C(O)Cc1ccccc1I,O=C1NCC2CNCC12,O=C1NCC2CN(C(=O)Cc3ccccc3I)CC12,Amidation,,
C122945,1,,,,NC(=O)C1(N)CCCNC1,CSc1ccccc1CC(=O)O,CSc1ccccc1CC(=O)NC1(C(N)=O)CCCNC1,Amidation,,
C125069,1,,,,O=C(O)C(Cl)c1ccccc1,CNC(=O)C1CCCNC1,CNC(=O)C1CCCN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C125070,1,,,,O=C(O)C(Cl)c1ccccc1,CC1CNCC(C(N)=O)C1,CC1CC(C(N)=O)CN(C(=O)C(Cl)c2ccccc2)C1,Amidation,,
C125071,1,,,,O=C(O)C(Cl)c1ccccc1,CC1CCC(C(N)=O)CN1,CC1CCC(C(N)=O)CN1C(=O)C(Cl)c1ccccc1,Amidation,,
C156759,1,,,,O=C(O)Cc1ccccc1I,CNC(=O)C1CCNC1,CNC(=O)C1CCN(C(=O)Cc2ccccc2I)C1,Amidation,,
C158852,1,,,,C=C(C(=O)O)c1ccccc1,NC(=O)C1C2CCNCC21,C=C(C(=O)N1CCC2C(C1)C2C(N)=O)c1ccccc1,Amidation,,
